GeoKey;BillToAddressID;AddressLine1;AddressLine2;City;StateProvinceID;PostalCode;CountryRegionCode;State / Province;Country
CanadaBrunswickSaint JohnE2P 1E3;494;Box 99354 300 Union Street;;Saint John;41;E2P 1E3;CA;Brunswick;Canada
CanadaOntarioOttawaK4B 1T7;495;Suite 800 2530 Slater Street;;Ottawa;57;K4B 1T7;CA;Ontario;Canada
CanadaOntarioMississaugaL5A 1H6;496;Suite 500 995 W. 11th Avenue;;Mississauga;57;L5A 1H6;CA;Ontario;Canada
CanadaBritish ColumbiaBurnabyV5A 4X1;497;#9900 2700 Production Way;;Burnaby;7;V5A 4X1;CA;British Columbia;Canada
CanadaBritish ColumbiaVictoriaV8V;498;25537 Hillside Avenue;;Victoria;7;V8V;CA;British Columbia;Canada
CanadaOntarioWaterlooN2V;499;Suite 2502 410 Albert Street;;Waterloo;57;N2V;CA;Ontario;Canada
CanadaOntarioMississaugaL4W 5J3;500;5700 Explorer Drive;;Mississauga;57;L4W 5J3;CA;Ontario;Canada
CanadaQuebecMontrealH1Y 2H8;501;965 De La Gauchetiere West;;Montreal;63;H1Y 2H8;CA;Quebec;Canada
CanadaAlbertaEdmontonT5;502;No. 25400 10665 Jasper Avenue;;Edmonton;1;T5;CA;Alberta;Canada
CanadaManitobaWinnipegR3;503;P.O. Box 44000;;Winnipeg;31;R3;CA;Manitoba;Canada
CanadaAlbertaCalgaryT2P 2G8;504;Suite 99320 255 - 510th Avenue S.W.;;Calgary;1;T2P 2G8;CA;Alberta;Canada
CanadaAlbertaCalgaryT2P 2G8;505;6400, 888 - 3rd Avenue;;Calgary;1;T2P 2G8;CA;Alberta;Canada
CanadaOntarioKingston7L;507;975 Princess Street;;Kingston;57;7L;CA;Ontario;Canada
CanadaBritish ColumbiaVancouverV7L 4J4;508;2900 - 25055 Dunning Street;;Vancouver;7;V7L 4J4;CA;British Columbia;Canada
CanadaBritish ColumbiaSurreyV3T 4W3;509;Suite 25800 3401 - 10810th Avenue;;Surrey;7;V3T 4W3;CA;British Columbia;Canada
CanadaOntarioWaterlooN2V;510;750 Philip Street;;Waterloo;57;N2V;CA;Ontario;Canada
CanadaQuebecOutremontH1Y 2G5;511;Bureau 9900 825, Avenue Querbes;;Outremont;63;H1Y 2G5;CA;Quebec;Canada
CanadaQuebecMontrealH1Y 2H7;512;700 Bureau Road;;Montreal;63;H1Y 2H7;CA;Quebec;Canada
CanadaBritish ColumbiaRichmondV6B 3P7;513;253711 Mayfield Place, Unit 150;;Richmond;7;V6B 3P7;CA;British Columbia;Canada
CanadaOntarioRichmond HillL4E 3M5;514;63 West Beaver Creek;;Richmond Hill;57;L4E 3M5;CA;Ontario;Canada
CanadaOntarioEtobicokeM9W 3P3;515;9900 Ronson Drive;;Etobicoke;57;M9W 3P3;CA;Ontario;Canada
CanadaOntarioBramptonL6W 2T7;516;251 Indell Lane;;Brampton;57;L6W 2T7;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V5;517;2573 Dufferin Street;;Toronto;57;M4B 1V5;CA;Ontario;Canada
CanadaOntarioRichmond HillL4E 3M5;518;995 Crescent;;Richmond Hill;57;L4E 3M5;CA;Ontario;Canada
CanadaAlbertaCalgaryT2P 2G8;519;2500-622 5th Ave Sw;;Calgary;1;T2P 2G8;CA;Alberta;Canada
CanadaQuebecBrossardJ4Z 1C5;520;6700 Boul Taschereau;;Brossard;63;J4Z 1C5;CA;Quebec;Canada
CanadaOntarioMississaugaL5B 3V4;521;55 Standish Court;;Mississauga;57;L5B 3V4;CA;Ontario;Canada
CanadaBritish ColumbiaRichmondV6B 3P7;522;43251 Viking Way, Unit 130;;Richmond;7;V6B 3P7;CA;British Columbia;Canada
CanadaBritish ColumbiaRichmondV6B 3P7;523;46990 Viking Way;;Richmond;7;V6B 3P7;CA;British Columbia;Canada
"CanadaQuebecVille De'anjouJ1G 2R3";524;9693 Louis H Lafontaine;;"Ville De'anjou";63;J1G 2R3;CA;Quebec;Canada
CanadaOntarioMississaugaL5B 3V4;525;69251 Creditview Road;;Mississauga;57;L5B 3V4;CA;Ontario;Canada
CanadaAlbertaEdmontonT5;526;251420a 170th Street;;Edmonton;1;T5;CA;Alberta;Canada
CanadaBritish ColumbiaRichmondV6B 3P7;527;252851 Rowan Place;;Richmond;7;V6B 3P7;CA;British Columbia;Canada
CanadaOntarioMississaugaL5B 3V4;528;5990 Avebury Road;;Mississauga;57;L5B 3V4;CA;Ontario;Canada
CanadaBritish ColumbiaRichmondV6B 3P7;529;254480 River Rd;;Richmond;7;V6B 3P7;CA;British Columbia;Canada
CanadaOntarioKingston7L;531;"5th Floor, 79 Place D'armes";;Kingston;57;7L;CA;Ontario;Canada
CanadaOntarioKanataK2L 1H5;533;4400 March Road;;Kanata;57;K2L 1H5;CA;Ontario;Canada
CanadaQuebecSilleryG1T;534;Depot 80;;Sillery;63;G1T;CA;Quebec;Canada
CanadaOntarioMississaugaL5B 3V4;535;250 Kingsbridge Garden Circle;;Mississauga;57;L5B 3V4;CA;Ontario;Canada
CanadaQuebecQuebecG1R;536;No. 2000-25080 Beaver Hall Hill;;Quebec;63;G1R;CA;Quebec;Canada
CanadaOntarioTorontoM4B 1V5;537;No. 25800-130 King Street West;;Toronto;57;M4B 1V5;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V5;538;25 Danger Street West;Floor 7;Toronto;57;M4B 1V5;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V5;539;6th Floor, 25st Canadian Place;;Toronto;57;M4B 1V5;CA;Ontario;Canada
CanadaOntarioNepeanK2J 2W5;540;254 Colonnade Road;;Nepean;57;K2J 2W5;CA;Ontario;Canada
CanadaQuebecMontrealH1Y 2H5;541;25981 College Street;;Montreal;63;H1Y 2H5;CA;Quebec;Canada
CanadaQuebecMontrealH1Y 2H7;542;5 place Ville-Marie;;Montreal;63;H1Y 2H7;CA;Quebec;Canada
CanadaOntarioOttawaK4B 1S3;543;6030 Conroy Road;;Ottawa;57;K4B 1S3;CA;Ontario;Canada
CanadaBritish ColumbiaBurnabyV5G 4W1;544;30025 Wayburne Drive, Suite 275;;Burnaby;7;V5G 4W1;CA;British Columbia;Canada
CanadaOntarioVancouverV5T 1Y9;545;999 West Georgia St.;;Vancouver;57;V5T 1Y9;CA;Ontario;Canada
CanadaAlbertaCalgaryT2P 2G8;546;250333 Southport Road, S.W.;;Calgary;1;T2P 2G8;CA;Alberta;Canada
CanadaOntarioTorontoM4B 1V4;547;7000 Victoria Park Avenue;;Toronto;57;M4B 1V4;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V4;548;63 Free St.;;Toronto;57;M4B 1V4;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V4;549;609 Evans Avenue;;Toronto;57;M4B 1V4;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V4;550;2520 Flanders Road;;Toronto;57;M4B 1V4;CA;Ontario;Canada
CanadaOntarioAuroraL4G 7N6;551;32605 West 252 Mile Road, Suite 250;;Aurora;57;L4G 7N6;CA;Ontario;Canada
CanadaQuebecDorvalH9P 1H1;552;25730, boul. St-Régis;;Dorval;63;H9P 1H1;CA;Quebec;Canada
CanadaAlbertaCalgaryT2P 2G8;553;253131 Lake Frasier Drive, Office No. 2;;Calgary;1;T2P 2G8;CA;Alberta;Canada
CanadaOntarioOttawaK4B 1S2;554;9984 Wellington Street;;Ottawa;57;K4B 1S2;CA;Ontario;Canada
CanadaOntarioTorontoM4B 1V4;555;9950 Ferrand Drive, 9th Floor;;Toronto;57;M4B 1V4;CA;Ontario;Canada
CanadaQuebecMontrealH1Y 2H3;556;990th Floor 700 De La GauchetiSre Ou;;Montreal;63;H1Y 2H3;CA;Quebec;Canada
CanadaQuebecMontrealH1Y 2H8;557;660 Saint-Jacques, Bureau 400;;Montreal;63;H1Y 2H8;CA;Quebec;Canada
CanadaAlbertaCalgaryT2P 2G8;558;67255 - 8th Street N.E., Suite 350;;Calgary;1;T2P 2G8;CA;Alberta;Canada
United StatesTexasIrving75061;559;12345 Sterling Avenue;;Irving;73;75061;US;Texas;United States
United StatesTexasAustin78701;560;800 Interchange Blvd.;Suite 2501;Austin;73;78701;US;Texas;United States
United StatesTexasIrving75061;561;90025 Sterling St;;Irving;73;75061;US;Texas;United States
United StatesSouth DakotaNorth Sioux City57049;562;2505 Gateway Drive;;North Sioux City;68;57049;US;South Dakota;United States
United StatesMinnesotaEdina55436;563;74400 France Avenue South;;Edina;36;55436;US;Minnesota;United States
United StatesTexasLaredo78040;564;509 Nafta Boulevard;;Laredo;73;78040;US;Texas;United States
United StatesIllinoisWest Chicago60185;565;25149 Howard Dr;;West Chicago;24;60185;US;Illinois;United States
United StatesIllinoisChicago60610;566;63 W Monroe;;Chicago;24;60610;US;Illinois;United States
United StatesTexasGarland75040;567;Corporate Office;;Garland;73;75040;US;Texas;United States
United StatesTexasRound Rock78664;569;Sapp Road West;;Round Rock;73;78664;US;Texas;United States
United StatesTexasFort Worth76102;570;52500 Liberty Way;;Fort Worth;73;76102;US;Texas;United States
United StatesIllinoisElgin60120;571;25550 Executive Dr;;Elgin;24;60120;US;Illinois;United States
United StatesTexasDallas75201;572;P.O. Box 6256916;;Dallas;73;75201;US;Texas;United States
United StatesTexasDallas75201;574;Po Box 8259024;;Dallas;73;75201;US;Texas;United States
United StatesIllinoisChicago60610;575;42500 W 76th St;;Chicago;24;60610;US;Illinois;United States
United StatesIllinoisCarol Stream60188;576;4255 East Lies Road;;Carol Stream;24;60188;US;Illinois;United States
United StatesTexasDallas75201;577;2500 North Stemmons Freeway;;Dallas;73;75201;US;Texas;United States
United StatesTexasGarland75040;578;220 Mercy Drive;;Garland;73;75040;US;Texas;United States
United StatesIllinoisChicago60610;579;25 N State St;;Chicago;24;60610;US;Illinois;United States
United StatesTexasCarrollton75006;580;2509 W. Frankford;;Carrollton;73;75006;US;Texas;United States
United StatesTexasDallas75201;581;Po Box 8035996;;Dallas;73;75201;US;Texas;United States
United StatesTexasPlano75074;582;5700 Legacy Dr;;Plano;73;75074;US;Texas;United States
United StatesIllinoisChicago60610;583;625 W Jackson Blvd. Unit 2502;;Chicago;24;60610;US;Illinois;United States
United StatesMissouriSaint Louis63103;584;250880 Baur Blvd;;Saint Louis;37;63103;US;Missouri;United States
United StatesIllinoisChicago60610;585;Noah Lane;;Chicago;24;60610;US;Illinois;United States
United StatesMissouriJefferson City65101;586;6030 Robinson Road;;Jefferson City;37;65101;US;Missouri;United States
United StatesTexasHouston77003;587;25500 Old Spanish Trail;;Houston;73;77003;US;Texas;United States
United StatesTexasDallas75201;588;99828 Routh Street, Suite 825;;Dallas;73;75201;US;Texas;United States
United StatesTexasRound Rock78664;589;One Dancing, Rr No. 25;Box 8033;Round Rock;73;78664;US;Texas;United States
United StatesMinnesotaDuluth55802;590;9995 West Central Entrance;;Duluth;36;55802;US;Minnesota;United States
United StatesTexasBaytown77520;591;48255 I-10 E. @ Eastpoint Blvd.;;Baytown;73;77520;US;Texas;United States
United StatesTexasHouston77003;592;9903 Highway 6 South;;Houston;73;77003;US;Texas;United States
United StatesTexasHouston77003;593;2345 North Freeway;;Houston;73;77003;US;Texas;United States
United StatesIllinoisPeoria61606;594;123 W. Lake Ave.;;Peoria;24;61606;US;Illinois;United States
United StatesMissouriSaint Louis63103;595;660 Lindbergh;;Saint Louis;37;63103;US;Missouri;United States
United StatesTexasSan Antonio78204;596;72540 Blanco Rd.;;San Antonio;73;78204;US;Texas;United States
United StatesTexasHumble77338;597;99450 Highway 59 North;;Humble;73;77338;US;Texas;United States
United StatesIllinoisMoline61265;598;455 256th St.;;Moline;24;61265;US;Illinois;United States
United StatesMissouriSaint Ann63074;599;70 N.W. Plaza;;Saint Ann;37;63074;US;Missouri;United States
United StatesMissouriFerguson63135;600;25095 W. Florissant;;Ferguson;37;63135;US;Missouri;United States
United StatesMissouriSaint Louis63103;601;6996 South Lindbergh;;Saint Louis;37;63103;US;Missouri;United States
United StatesTexasSan Antonio78204;602;6425 Nw Loop 410;;San Antonio;73;78204;US;Texas;United States
United StatesTexasKilleen76541;603;9500b E. Central Texas Expressway;;Killeen;73;76541;US;Texas;United States
United StatesIllinoisJoliet60433;604;1200 First Ave.;;Joliet;24;60433;US;Illinois;United States
United StatesTexasSan Antonio78204;605;7760 N. Pan Am Expwy;;San Antonio;73;78204;US;Texas;United States
United StatesWisconsinRacine53182;606;99433 S. Greenbay Rd.;;Racine;80;53182;US;Wisconsin;United States
United StatesTexasCorpus Christi78404;607;25220 Airline Road;;Corpus Christi;73;78404;US;Texas;United States
United StatesTexasCollege Station77840;608;25306 Harvey Rd.;;College Station;73;77840;US;Texas;United States
United StatesWisconsinMilwaukee53202;609;3900 S. 997th St.;;Milwaukee;80;53202;US;Wisconsin;United States
United StatesSouth DakotaDenby57716;610;44025 W. Empire;;Denby;68;57716;US;South Dakota;United States
United StatesTexasSan Antonio78204;611;23025 S.W. Military Rd.;;San Antonio;73;78204;US;Texas;United States
United StatesIllinoisNorridge60706;612;Ring Plaza;;Norridge;24;60706;US;Illinois;United States
United StatesTexasCedar Park78613;613;Lakeline Mall;;Cedar Park;73;78613;US;Texas;United States
United StatesTexasMesquite75149;614;Town East Center;;Mesquite;73;75149;US;Texas;United States
United StatesWisconsinJohnson Creek53038;617;Johnson Creek;;Johnson Creek;80;53038;US;Wisconsin;United States
United StatesMissouriKansas City64106;618;Blue Ridge Mall;;Kansas City;37;64106;US;Missouri;United States
United StatesTexasSugar Land77478;619;First Colony Mall;;Sugar Land;73;77478;US;Texas;United States
United StatesMinnesotaWoodbury55125;620;Horizon Outlet;;Woodbury;36;55125;US;Minnesota;United States
United StatesMinnesotaBranch55056;621;Tanger Factory;;Branch;36;55056;US;Minnesota;United States
United StatesTexasSan Antonio78204;622;Management Mall;;San Antonio;73;78204;US;Texas;United States
United StatesTexasHouston77003;623;Ohms Road;;Houston;73;77003;US;Texas;United States
United StatesMissouriBranson65616;624;Factory Merchants;;Branson;37;65616;US;Missouri;United States
United StatesWisconsinMosinee54455;625;Cedar Creek Stores;;Mosinee;80;54455;US;Wisconsin;United States
United StatesTexasLa Marque77568;626;Lone Star Factory;;La Marque;73;77568;US;Texas;United States
United StatesIllinoisTuscola61953;627;Sports Stores @ Tuscola;;Tuscola;24;61953;US;Illinois;United States
United StatesMinnesotaMinneapolis55402;628;City Center;;Minneapolis;36;55402;US;Minnesota;United States
United StatesMissouriSaint Louis63103;629;St. Louis Marketplace;;Saint Louis;37;63103;US;Missouri;United States
United StatesTexasArlington76010;630;Lincoln Square;;Arlington;73;76010;US;Texas;United States
United StatesMissouriOdessa64076;631;Kansas City Factory Outlet;;Odessa;37;64076;US;Missouri;United States
United StatesMinnesotaMedford55049;633;Medford Outlet Center;;Medford;36;55049;US;Minnesota;United States
United StatesMissouriKansas City64106;634;Ward Parkway Center;;Kansas City;37;64106;US;Missouri;United States
United KingdomEnglandLondonSE1 8HL;635;93-2501, Blackfriars Road,;;London;14;SE1 8HL;GB;England;United Kingdom
United KingdomEnglandWarringtonWA3 7BH;636;Science Park South, Birchwood;Stanford House;Warrington;14;WA3 7BH;GB;England;United Kingdom
United KingdomEnglandGloucestershireGL7 1RY;637;Phoenix Way, Cirencester;;Gloucestershire;14;GL7 1RY;GB;England;United Kingdom
United KingdomEnglandLondonC2H 7AU;638;255 Irving Street;;London;14;C2H 7AU;GB;England;United Kingdom
United KingdomEnglandMilton KeynesMK8 8ZD;639;Garamonde Drive, Wymbush;PO Box 4023;Milton Keynes;14;MK8 8ZD;GB;England;United Kingdom
United KingdomEnglandWokinghamRG41 1QW;640;251 The Metro Center;;Wokingham;14;RG41 1QW;GB;England;United Kingdom
United KingdomEnglandW. YorkBD1 4SJ;641;Bradford;;W. York;14;BD1 4SJ;GB;England;United Kingdom
United KingdomEnglandLiverpoolL4 4HB;642;Galashiels;;Liverpool;14;L4 4HB;GB;England;United Kingdom
United KingdomEnglandOxonOX16 8RS;643;Banbury;;Oxon;14;OX16 8RS;GB;England;United Kingdom
United KingdomEnglandW. YorkBD1 4SJ;644;Bradford;Raven House, Kingsgate;W. York;14;BD1 4SJ;GB;England;United Kingdom
United KingdomEnglandMilton KeynesMK8 8ZD;645;Garamonde Drive, Wymbush;P.O. Box 803;Milton Keynes;14;MK8 8ZD;GB;England;United Kingdom
United KingdomEnglandLancasterLA1 1LN;646;Butterfield Hse, 7-251 Chapel St;;Lancaster;14;LA1 1LN;GB;England;United Kingdom
United KingdomEnglandBasingstoke HantsRG24 8PL;647;Wade Road;;Basingstoke Hants;14;RG24 8PL;GB;England;United Kingdom
United KingdomEnglandLondonSW6 SBY;648;586 Fulham Road,;;London;14;SW6 SBY;GB;England;United Kingdom
United KingdomEnglandHigh WycombeHP10 9QY;649;Knaves Beech Ind.;;High Wycombe;14;HP10 9QY;GB;England;United Kingdom
United KingdomEnglandReadingRG7 5H7;650;Elmhurst Road, Goring;;Reading;14;RG7 5H7;GB;England;United Kingdom
United KingdomEnglandAbingdonOX14 4SE;651;New Millhouse, 2583 Milton Park;;Abingdon;14;OX14 4SE;GB;England;United Kingdom
United KingdomEnglandMilton KeynesMK8 8DF;652;Wymbush;;Milton Keynes;14;MK8 8DF;GB;England;United Kingdom
United KingdomEnglandWest SussexRH15 9UD;653;Burgess Hill;Edward Way;West Sussex;14;RH15 9UD;GB;England;United Kingdom
United KingdomEnglandYorkY024 1GF;654;308-3250 Casting Road;;York;14;Y024 1GF;GB;England;United Kingdom
United KingdomEnglandBerkshireRG11 5TP;655;Wharfdale Road;;Berkshire;14;RG11 5TP;GB;England;United Kingdom
United KingdomEnglandBirminghamB29 6SL;657;Unit 99a Battery Retail Pk;;Birmingham;14;B29 6SL;GB;England;United Kingdom
United KingdomEnglandBracknellRG12 8TB;658;Ellesfield Ave;;Bracknell;14;RG12 8TB;GB;England;United Kingdom
United KingdomEnglandWoolstonWA1 4SY;659;Warrington Ldc Unit 25/2;;Woolston;14;WA1 4SY;GB;England;United Kingdom
United KingdomEnglandMaidenheadSL67RJ;660;6 The Farm, Liberty Road;;Maidenhead;14;SL67RJ;GB;England;United Kingdom
United KingdomEnglandBerksSL4 1RH;661;725a The Arches;;Berks;14;SL4 1RH;GB;England;United Kingdom
