CustomerID;TotalPurchaseYTD;DateFirstPurchase;BirthDate;MaritalStatus;YearlyIncome;Gender;Have Child(ren);TotalChildren;NumberChildrenAtHome;Education;Occupation;HomeOwnerFlag;NumberCarsOwned
11053;2329.98;7/21/2003 12:00:00 AM;8/20/1980;M;50001-75000;F;NO;0;0;Partial College;Skilled Manual;0;2
11054;8223.02;8/6/2001 12:00:00 AM;3/10/1952;M;25001-50000;F;YES;2;0;Partial College;Skilled Manual;1;2
11055;8168.01;8/3/2001 12:00:00 AM;3/5/1952;M;25001-50000;M;YES;2;0;Partial College;Skilled Manual;1;2
11056;8207.5;8/29/2001 12:00:00 AM;4/3/1953;M;25001-50000;F;YES;3;0;Partial College;Skilled Manual;1;2
11057;8088.04;8/25/2001 12:00:00 AM;10/12/1953;M;50001-75000;M;YES;2;0;Graduate Degree;Management;1;2
11058;8248.02;9/9/2001 12:00:00 AM;4/27/1954;M;75001-100000;M;YES;2;0;Partial College;Skilled Manual;1;2
11059;116.93;8/22/2003 12:00:00 AM;4/1/1954;S;75001-100000;F;YES;2;0;Partial College;Skilled Manual;1;2
11060;8153.02;9/19/2001 12:00:00 AM;3/17/1954;M;75001-100000;M;YES;2;0;Partial College;Skilled Manual;1;2
11061;8129.02;9/13/2001 12:00:00 AM;2/27/1954;M;75001-100000;M;YES;2;0;Partial College;Skilled Manual;1;2
11062;2351.96;7/11/2003 12:00:00 AM;9/2/1975;M;25001-50000;M;NO;0;0;High School;Skilled Manual;1;2
11063;2372.95;7/16/2003 12:00:00 AM;4/7/1975;S;25001-50000;F;NO;0;0;High School;Skilled Manual;1;2
11064;2304.98;7/29/2003 12:00:00 AM;12/7/1975;M;25001-50000;M;NO;0;0;High School;Skilled Manual;1;2
11065;202.57;8/14/2003 12:00:00 AM;10/9/1973;M;50001-75000;F;NO;0;0;Partial College;Skilled Manual;0;2
11066;81.26;12/2/2003 12:00:00 AM;11/27/1973;M;50001-75000;F;NO;0;0;Partial College;Professional;1;2
11067;105.75;2/19/2004 12:00:00 AM;9/25/1976;S;50001-75000;M;NO;0;0;Partial College;Professional;1;2
11068;113.36;11/1/2003 12:00:00 AM;9/23/1955;S;75001-100000;F;YES;2;0;High School;Skilled Manual;1;2
11069;8104.05;10/18/2001 12:00:00 AM;9/21/1955;S;75001-100000;F;YES;2;0;High School;Skilled Manual;0;2
11070;8165.55;10/29/2001 12:00:00 AM;4/5/1955;M;75001-100000;M;YES;2;0;High School;Skilled Manual;1;2
11071;110.23;9/2/2003 12:00:00 AM;6/26/1955;S;75001-100000;F;YES;2;0;High School;Skilled Manual;1;2
11072;8194;10/1/2001 12:00:00 AM;2/6/1955;S;75001-100000;F;YES;2;0;High School;Skilled Manual;0;2
11073;191.9;9/24/2003 12:00:00 AM;8/14/1956;S;50001-75000;F;YES;2;0;High School;Skilled Manual;1;2
11074;94.19;9/24/2003 12:00:00 AM;8/28/1956;S;50001-75000;M;YES;2;0;High School;Skilled Manual;1;2
11075;8068.03;10/29/2001 12:00:00 AM;11/16/1957;S;75001-100000;F;YES;2;0;High School;Professional;1;2
11076;8159.04;10/22/2001 12:00:00 AM;7/13/1957;S;75001-100000;M;YES;2;0;High School;Professional;1;2
11077;8169.03;10/16/2001 12:00:00 AM;9/19/1957;S;75001-100000;F;YES;2;0;High School;Professional;0;2
11078;913.27;8/19/2003 12:00:00 AM;1/10/1974;S;25001-50000;F;NO;0;0;High School;Professional;0;2
11079;57.95;9/16/2003 12:00:00 AM;3/11/1959;S;greater than 100000;M;NO;0;0;Graduate Degree;Management;1;2
11080;8204.02;10/11/2001 12:00:00 AM;7/17/1959;M;greater than 100000;M;NO;0;0;Graduate Degree;Management;1;2
11081;104.26;8/16/2003 12:00:00 AM;7/24/1966;M;greater than 100000;F;YES;2;2;Bachelors;Management;1;3
11082;3110.81;7/26/2003 12:00:00 AM;8/4/1966;S;greater than 100000;F;NO;0;1;Graduate Degree;Management;0;3
11083;3137.32;7/10/2003 12:00:00 AM;3/15/1966;M;greater than 100000;F;NO;0;1;Graduate Degree;Management;1;3
11084;3078.61;7/8/2003 12:00:00 AM;9/12/1957;S;75001-100000;M;YES;2;0;Partial High School;Skilled Manual;0;2
11085;128.96;6/8/2004 12:00:00 AM;7/19/1957;S;50001-75000;F;YES;2;0;High School;Professional;0;2
11086;153.45;1/3/2004 12:00:00 AM;12/23/1957;M;50001-75000;M;YES;2;1;Partial College;Professional;1;0
11087;200.28;8/29/2003 12:00:00 AM;10/3/1957;M;50001-75000;F;YES;3;2;Partial College;Professional;0;0
11088;3176.78;7/17/2003 12:00:00 AM;11/25/1957;M;75001-100000;M;YES;2;1;Bachelors;Management;1;0
11089;3188.28;7/2/2003 12:00:00 AM;2/5/1957;S;75001-100000;F;YES;2;1;Bachelors;Management;1;1
11090;6704.08;2/7/2002 12:00:00 AM;12/17/1957;S;75001-100000;M;YES;2;0;Partial College;Professional;1;1
11091;1189.33;8/2/2003 12:00:00 AM;4/4/1957;M;75001-100000;M;YES;2;0;Partial College;Professional;1;1
11092;8110.02;10/9/2001 12:00:00 AM;5/6/1967;M;75001-100000;F;YES;2;2;Bachelors;Professional;1;0
11093;8180;10/8/2001 12:00:00 AM;9/10/1967;M;75001-100000;F;NO;0;0;Graduate Degree;Management;1;0
11094;235.89;10/9/2003 12:00:00 AM;4/1/1962;S;50001-75000;M;YES;1;0;Partial College;Skilled Manual;0;1
11095;8158.01;10/2/2001 12:00:00 AM;9/1/1962;S;50001-75000;M;YES;1;0;Partial College;Skilled Manual;1;1
11096;8063.04;10/12/2001 12:00:00 AM;8/10/1962;M;50001-75000;M;YES;1;0;Bachelors;Professional;1;1
11097;8099.03;10/5/2001 12:00:00 AM;10/27/1961;M;50001-75000;M;YES;1;0;Partial College;Skilled Manual;1;1
11098;88.96;8/15/2003 12:00:00 AM;5/1/1961;S;50001-75000;F;YES;1;0;Partial College;Skilled Manual;0;1
11099;8215.99;10/8/2001 12:00:00 AM;3/8/1961;M;50001-75000;M;YES;1;0;Bachelors;Professional;1;1
11100;8172.51;10/17/2001 12:00:00 AM;9/15/1960;S;50001-75000;F;YES;1;0;Partial College;Skilled Manual;1;1
11101;8262.52;10/30/2001 12:00:00 AM;5/8/1965;S;50001-75000;F;NO;0;0;Bachelors;Professional;0;1
11102;102.91;1/17/2004 12:00:00 AM;4/21/1965;S;75001-100000;F;YES;5;5;Bachelors;Professional;1;4
11103;8182.5;10/16/2001 12:00:00 AM;10/17/1964;S;50001-75000;F;NO;0;0;Bachelors;Professional;1;1
11104;8173.03;11/4/2001 12:00:00 AM;3/11/1964;M;50001-75000;M;NO;0;0;Bachelors;Professional;0;1
11105;8095.99;11/14/2001 12:00:00 AM;12/28/1964;S;50001-75000;F;NO;0;0;Bachelors;Professional;0;1
11106;8079.05;11/18/2001 12:00:00 AM;9/11/1964;S;50001-75000;M;NO;0;0;Bachelors;Professional;0;1
11107;8171.01;11/1/2001 12:00:00 AM;9/9/1959;M;75001-100000;F;YES;1;0;Bachelors;Professional;1;1
11108;8124.04;11/3/2001 12:00:00 AM;7/14/1963;S;50001-75000;F;NO;0;0;Bachelors;Professional;0;2
11109;8245.01;11/10/2001 12:00:00 AM;11/5/1963;S;50001-75000;M;NO;0;0;Bachelors;Professional;0;2
11110;8093.03;11/1/2001 12:00:00 AM;6/6/1962;M;50001-75000;M;YES;1;0;Partial College;Skilled Manual;1;1
11111;8137;11/20/2001 12:00:00 AM;2/23/1962;M;50001-75000;F;YES;1;0;Partial College;Skilled Manual;1;1
11112;8295.02;11/25/2001 12:00:00 AM;9/9/1962;M;50001-75000;F;YES;1;0;Partial College;Skilled Manual;1;1
11113;109.88;8/5/2003 12:00:00 AM;2/21/1962;M;50001-75000;M;YES;5;4;Bachelors;Professional;1;2
11114;122.89;9/19/2003 12:00:00 AM;5/28/1962;S;50001-75000;F;YES;5;4;Partial College;Skilled Manual;1;2
11115;113.71;8/14/2003 12:00:00 AM;2/12/1962;M;50001-75000;M;YES;5;4;Partial College;Skilled Manual;1;2
11116;148.7;9/16/2003 12:00:00 AM;10/7/1962;M;50001-75000;M;YES;5;4;Partial College;Skilled Manual;1;2
11117;8184.99;11/6/2001 12:00:00 AM;2/21/1961;M;50001-75000;F;YES;5;4;Partial College;Skilled Manual;1;3
11118;123.8;1/11/2004 12:00:00 AM;7/3/1957;S;75001-100000;M;YES;1;0;Partial College;Skilled Manual;0;1
11119;85.22;8/7/2003 12:00:00 AM;4/10/1935;S;25001-50000;M;YES;2;0;Partial College;Clerical;0;2
11120;8242.49;11/14/2001 12:00:00 AM;8/9/1936;S;25001-50000;F;YES;2;0;Bachelors;Management;1;1
11121;58.16;12/26/2003 12:00:00 AM;11/18/1960;M;50001-75000;M;YES;5;4;Partial College;Skilled Manual;1;3
11122;42.93;8/25/2003 12:00:00 AM;4/2/1960;M;50001-75000;M;YES;5;4;Partial College;Skilled Manual;1;3
11123;149.84;10/19/2003 12:00:00 AM;6/20/1960;M;50001-75000;M;YES;5;4;Partial College;Skilled Manual;1;3
11124;8129.02;11/5/2001 12:00:00 AM;7/27/1957;S;75001-100000;M;YES;1;0;Partial College;Skilled Manual;1;1
11125;79.69;8/4/2003 12:00:00 AM;4/8/1956;S;50001-75000;F;YES;1;0;Partial College;Skilled Manual;1;1
11126;4972.37;11/28/2001 12:00:00 AM;4/7/1949;M;0-25000;M;YES;2;1;High School;Skilled Manual;0;2
11127;43.98;10/12/2003 12:00:00 AM;10/21/1975;M;25001-50000;F;NO;0;0;High School;Skilled Manual;1;1
11128;143.94;12/21/2003 12:00:00 AM;12/5/1975;M;25001-50000;F;NO;0;0;High School;Skilled Manual;1;1
11129;5873.26;2/6/2002 12:00:00 AM;8/5/1975;S;25001-50000;F;NO;0;0;High School;Skilled Manual;1;1
11130;37.29;6/11/2004 12:00:00 AM;1/6/1980;M;25001-50000;F;NO;0;0;High School;Skilled Manual;1;2
11131;165.91;4/20/2004 12:00:00 AM;3/12/1980;M;25001-50000;F;NO;0;0;High School;Skilled Manual;0;2
11132;2371.94;10/11/2003 12:00:00 AM;10/26/1980;S;25001-50000;F;NO;0;0;High School;Skilled Manual;0;2
11134;4911.83;11/3/2001 12:00:00 AM;2/26/1946;S;0-25000;M;YES;5;0;High School;Skilled Manual;1;2
11135;2334.97;10/20/2003 12:00:00 AM;11/3/1979;S;25001-50000;M;NO;0;0;Partial High School;Clerical;0;2
11136;2380.47;7/7/2003 12:00:00 AM;10/26/1978;S;25001-50000;F;NO;0;0;High School;Skilled Manual;0;2
11137;202.57;2/1/2004 12:00:00 AM;7/20/1978;M;25001-50000;F;NO;0;0;High School;Skilled Manual;1;2
11138;78.97;3/22/2004 12:00:00 AM;9/15/1978;M;25001-50000;F;NO;0;0;High School;Skilled Manual;0;2
11139;83.97;3/17/2004 12:00:00 AM;11/9/1938;S;25001-50000;F;YES;2;0;Partial College;Clerical;0;2
11140;39.99;9/20/2003 12:00:00 AM;2/11/1977;S;25001-50000;M;NO;0;0;Partial High School;Clerical;0;2
11141;113.96;11/17/2003 12:00:00 AM;6/21/1977;M;25001-50000;F;NO;0;0;High School;Skilled Manual;0;2
11142;980.77;8/17/2003 12:00:00 AM;8/14/1977;S;25001-50000;M;NO;0;0;High School;Skilled Manual;0;2
11143;48.56;12/17/2003 12:00:00 AM;2/4/1977;M;25001-50000;M;NO;0;0;High School;Skilled Manual;1;2
11144;2399.97;7/29/2003 12:00:00 AM;9/9/1979;S;25001-50000;M;NO;0;0;High School;Skilled Manual;0;2
11145;2309.97;7/29/2003 12:00:00 AM;12/8/1979;S;25001-50000;F;NO;0;0;High School;Skilled Manual;0;2
11146;112.93;8/9/2003 12:00:00 AM;8/26/1939;S;25001-50000;F;YES;2;0;Bachelors;Management;1;2
11147;8195.5;11/13/2001 12:00:00 AM;2/5/1939;M;50001-75000;M;YES;2;0;Graduate Degree;Management;1;1
11148;126.24;9/8/2003 12:00:00 AM;8/16/1941;M;25001-50000;M;YES;2;0;Bachelors;Management;1;2
11149;41.26;12/6/2003 12:00:00 AM;4/20/1941;M;25001-50000;M;YES;2;0;Bachelors;Management;1;2
11150;192.42;9/28/2003 12:00:00 AM;3/15/1941;S;25001-50000;M;YES;2;0;Bachelors;Management;1;2
11151;8087.31;11/15/2001 12:00:00 AM;2/25/1942;S;50001-75000;F;YES;2;0;Graduate Degree;Management;0;1
11152;2294.99;7/13/2003 12:00:00 AM;1/10/1976;S;25001-50000;M;NO;0;0;High School;Skilled Manual;1;2
11153;109.77;9/30/2003 12:00:00 AM;6/23/1976;M;25001-50000;F;NO;0;0;High School;Skilled Manual;1;2
11154;2319.99;7/14/2003 12:00:00 AM;8/21/1976;S;25001-50000;F;NO;0;0;Partial College;Skilled Manual;1;1
11155;2319.99;7/10/2003 12:00:00 AM;1/26/1976;S;25001-50000;M;NO;0;0;Partial College;Skilled Manual;0;1
11156;2389.97;7/12/2003 12:00:00 AM;2/7/1976;S;25001-50000;F;NO;0;0;Partial College;Skilled Manual;0;1
11157;41.28;1/25/2004 12:00:00 AM;6/11/1975;M;25001-50000;F;NO;0;0;High School;Skilled Manual;1;2
11158;2395.96;7/23/2003 12:00:00 AM;10/8/1975;S;25001-50000;M;NO;0;0;High School;Skilled Manual;1;2
11159;48.56;3/11/2004 12:00:00 AM;9/17/1975;S;25001-50000;F;NO;0;0;High School;Skilled Manual;0;2
11160;2322.28;8/25/2003 12:00:00 AM;1/8/1974;S;25001-50000;M;NO;0;0;Partial College;Skilled Manual;0;1
11161;93.95;12/3/2003 12:00:00 AM;4/22/1974;S;25001-50000;F;NO;0;0;Partial College;Skilled Manual;0;1
11162;2329.98;8/22/2003 12:00:00 AM;3/5/1974;S;25001-50000;M;NO;0;0;Partial College;Skilled Manual;1;1
11163;46.27;11/2/2003 12:00:00 AM;12/20/1974;M;25001-50000;M;NO;0;0;Partial College;Skilled Manual;1;1
11164;144.76;10/29/2003 12:00:00 AM;5/5/1974;S;25001-50000;M;NO;0;0;Partial College;Skilled Manual;0;1
11165;102.49;11/26/2003 12:00:00 AM;7/18/1973;M;50001-75000;F;NO;0;0;Partial College;Skilled Manual;0;1
11166;87.96;4/16/2004 12:00:00 AM;4/24/1972;S;50001-75000;F;NO;0;0;Partial College;Skilled Manual;0;2
11167;3126.33;7/11/2003 12:00:00 AM;8/1/1972;S;75001-100000;F;NO;0;0;Bachelors;Management;0;1
11168;3136.59;7/19/2003 12:00:00 AM;5/15/1968;S;75001-100000;M;NO;0;0;Bachelors;Management;0;1
11169;81.26;11/27/2003 12:00:00 AM;6/22/1968;M;75001-100000;M;YES;4;4;Bachelors;Management;1;1
11170;157.23;2/27/2004 12:00:00 AM;2/5/1968;M;75001-100000;F;YES;4;4;Bachelors;Management;1;1
11171;6716.55;2/20/2002 12:00:00 AM;10/9/1967;S;75001-100000;M;YES;1;0;Bachelors;Management;1;2
11172;128.94;11/4/2003 12:00:00 AM;11/21/1967;M;75001-100000;F;YES;1;0;Bachelors;Management;1;2
11173;102.49;9/3/2003 12:00:00 AM;9/1/1967;S;greater than 100000;F;NO;0;0;Graduate Degree;Management;0;4
11174;48.56;1/14/2004 12:00:00 AM;7/13/1967;M;greater than 100000;M;NO;0;1;Graduate Degree;Management;1;0
11175;6710.55;2/28/2002 12:00:00 AM;3/5/1963;S;50001-75000;M;NO;0;0;Partial College;Skilled Manual;1;2
11176;1320.01;8/6/2003 12:00:00 AM;1/25/1968;M;75001-100000;M;YES;4;4;Bachelors;Management;1;1
11177;135.25;9/30/2003 12:00:00 AM;7/4/1942;M;greater than 100000;M;YES;2;4;Graduate Degree;Management;1;2
11178;144.76;8/25/2003 12:00:00 AM;8/24/1943;M;75001-100000;M;YES;2;3;Graduate Degree;Management;1;3
11179;125.44;9/13/2003 12:00:00 AM;6/14/1943;M;greater than 100000;F;YES;2;4;Graduate Degree;Management;1;3
11180;138.45;9/18/2003 12:00:00 AM;1/2/1943;M;greater than 100000;F;YES;1;3;Bachelors;Management;1;4
11181;41.28;11/8/2003 12:00:00 AM;8/8/1943;M;greater than 100000;M;YES;2;3;Graduate Degree;Management;1;2
11182;81.26;2/29/2004 12:00:00 AM;8/25/1944;S;50001-75000;F;YES;4;0;Bachelors;Management;1;2
11183;46.27;11/1/2003 12:00:00 AM;7/15/1944;S;50001-75000;F;YES;4;0;Bachelors;Management;1;2
11184;68.25;2/11/2004 12:00:00 AM;11/16/1944;S;50001-75000;F;YES;4;0;Bachelors;Management;1;2
11185;1616.31;8/25/2003 12:00:00 AM;10/8/1944;S;50001-75000;F;YES;4;0;Bachelors;Management;1;2
11186;41.28;4/20/2004 12:00:00 AM;5/21/1944;S;50001-75000;F;YES;4;0;Bachelors;Management;1;2
11187;107.48;10/5/2003 12:00:00 AM;2/22/1944;M;50001-75000;F;YES;4;0;Graduate Degree;Management;1;2
11188;81.26;5/4/2004 12:00:00 AM;9/6/1944;M;50001-75000;F;YES;4;0;Graduate Degree;Management;0;2
11189;5944.22;2/26/2002 12:00:00 AM;7/15/1944;S;50001-75000;M;YES;4;0;Graduate Degree;Management;1;2
11190;46.27;2/29/2004 12:00:00 AM;6/22/1944;M;50001-75000;M;YES;5;0;Bachelors;Management;1;2
11191;6743.58;2/11/2002 12:00:00 AM;12/18/1945;S;50001-75000;F;YES;5;0;Bachelors;Management;1;3
11192;113.96;12/25/2003 12:00:00 AM;9/13/1945;M;50001-75000;M;YES;4;0;Bachelors;Management;1;2
11193;41.28;8/29/2003 12:00:00 AM;2/13/1945;M;50001-75000;M;YES;4;0;Bachelors;Management;1;2
11194;105.75;9/14/2003 12:00:00 AM;6/10/1945;M;50001-75000;F;YES;4;0;Bachelors;Management;1;2
11195;105.75;10/16/2003 12:00:00 AM;2/10/1946;M;50001-75000;F;YES;5;0;Bachelors;Management;1;3
11196;162.28;9/4/2003 12:00:00 AM;6/7/1946;M;50001-75000;M;YES;5;0;Bachelors;Management;1;3
11197;207.56;11/3/2003 12:00:00 AM;6/18/1946;M;50001-75000;F;YES;3;1;Bachelors;Management;0;1
11198;98.47;8/9/2003 12:00:00 AM;11/26/1946;S;50001-75000;F;YES;4;1;Bachelors;Management;1;1
11199;131.75;9/19/2003 12:00:00 AM;11/6/1946;M;50001-75000;F;YES;4;1;Bachelors;Management;1;1
11200;1463.38;8/11/2003 12:00:00 AM;11/22/1947;M;50001-75000;M;YES;4;1;Bachelors;Management;1;1
11201;180.94;1/2/2004 12:00:00 AM;8/18/1947;M;50001-75000;F;YES;4;1;Bachelors;Management;1;1
11202;73.98;3/18/2004 12:00:00 AM;8/26/1947;M;75001-100000;F;YES;5;0;Bachelors;Management;0;2
11203;801.77;8/24/2003 12:00:00 AM;8/21/1948;M;25001-50000;M;YES;2;1;High School;Professional;1;2
11204;77.27;2/10/2004 12:00:00 AM;6/1/1948;M;25001-50000;F;YES;2;1;High School;Professional;1;2
11205;37.29;1/28/2004 12:00:00 AM;7/24/1948;M;25001-50000;F;YES;2;1;High School;Professional;1;2
11206;77.27;11/12/2003 12:00:00 AM;9/24/1948;M;50001-75000;M;YES;2;1;Partial College;Professional;1;1
11207;77.27;8/4/2003 12:00:00 AM;7/19/1948;S;50001-75000;F;YES;2;1;Partial College;Professional;1;1
11208;134.23;9/5/2003 12:00:00 AM;2/4/1948;M;50001-75000;F;YES;2;1;Bachelors;Management;1;0
11209;37.29;9/26/2003 12:00:00 AM;1/13/1948;M;50001-75000;F;YES;2;1;Bachelors;Management;1;0
11210;70.76;11/7/2003 12:00:00 AM;6/8/1948;M;50001-75000;M;YES;4;1;Partial College;Professional;1;2
11211;793.55;8/5/2003 12:00:00 AM;10/12/1949;M;25001-50000;F;YES;2;1;High School;Professional;1;2
11212;827.19;8/3/2003 12:00:00 AM;11/5/1949;M;25001-50000;F;YES;2;1;High School;Professional;1;2
11213;77.27;9/29/2003 12:00:00 AM;5/14/1949;S;50001-75000;F;YES;2;1;Partial College;Professional;1;2
11214;162.28;2/15/2004 12:00:00 AM;11/7/1949;S;50001-75000;M;YES;2;1;Partial College;Professional;1;2
11215;1155.52;8/19/2003 12:00:00 AM;6/21/1950;M;25001-50000;F;YES;2;1;Partial High School;Skilled Manual;1;2
11216;5948.24;2/15/2002 12:00:00 AM;5/20/1950;S;50001-75000;F;YES;2;1;Partial College;Professional;1;2
11217;5953.25;2/10/2002 12:00:00 AM;2/11/1950;S;50001-75000;F;YES;2;1;Partial College;Professional;1;2
11218;39.58;9/1/2003 12:00:00 AM;9/11/1950;S;50001-75000;F;YES;2;1;Partial College;Professional;0;2
11219;39.58;5/1/2004 12:00:00 AM;12/2/1950;M;50001-75000;M;YES;2;1;High School;Professional;1;2
11220;50.23;9/15/2003 12:00:00 AM;2/23/1950;M;50001-75000;F;YES;2;1;Partial College;Professional;1;1
11221;46.27;10/9/2003 12:00:00 AM;6/10/1950;M;50001-75000;M;YES;4;2;Partial College;Professional;1;1
11222;207.96;5/4/2004 12:00:00 AM;8/17/1950;M;75001-100000;F;YES;3;1;Bachelors;Management;1;1
